Alternatives;Probability;Effect
14B;1;8
19B;2;7
21B;5;1
22B;9;1
23B;4;5
25B;7;4
26B;5;7
27B;5;8
28B;5;6
29B;2;9
30B;1;7
32B;6;2
34B;1;8
35B;2;7
36B;5;1
37B;9;1
38B;4;5
39B;7;4
43B;5;7
44B;5;8
55B;5;6
57B;2;9
58B;1;7
64B;6;2
72B;1;8
73B;2;7
75B;5;1
77B;9;1
78B;4;5
79B;7;4
80B;5;7
81B;5;8
82B;5;6
83B;2;9
84B;1;7
85B;6;2
86B;1;8
87B;2;7
88B;5;1
89B;9;1
90B;4;5
91B;7;4
92B;5;7
93B;5;8
94B;5;6
95B;2;9
96B;1;7
97B;6;2
98B;1;8
99B;2;7
101B;5;1
103B;9;1
104B;4;5
105B;7;4
108B;5;7
109B;5;8
110B;5;6
116B;2;9
117B;1;7
118B;6;2
119B;1;8
133B;2;7
134B;5;1
145B;9;1
147B;4;5
148B;7;4
162B;5;7
163B;5;8
164B;5;6
165B;2;9
169B;1;7
170B;6;2
175B;1;8
180B;2;7
181B;5;1
183B;9;1
184B;4;5
185B;7;4
186B;5;7
187B;5;8
189B;5;6
192B;2;9
194B;1;7
197B;6;2
213B;1;8
222B;2;7
239B;5;1
240B;9;1
244B;4;5
245B;7;4
270B;5;7
275B;5;8
277B;5;6
280B;2;9
285B;1;7
297B;6;2
309B;1;8
359B;2;7
369B;5;1
371B;9;1
372B;4;5
373B;7;4
374B;5;7
380B;5;8
381B;5;6
386B;2;9
387B;1;7
388B;6;2
389B;1;8
397B;2;7
398B;5;1
399B;9;1
405B;4;5
412B;7;4
415B;5;7
416B;5;8
421B;5;6
423B;2;9
425B;1;7
429B;6;2
430B;1;8
431B;2;7
432B;5;1
449B;9;1
451B;4;5
462B;7;4
463B;5;7
464B;5;8
5A;5;6
6A;2;9
7A;1;7
8A;6;2
11A;1;8
14A;2;7
16A;5;1
17A;9;1
18A;4;5
20A;7;4
28A;5;7
30A;5;8
32A;5;6
46A;2;9
47A;1;7
48A;6;2
55A;1;8
57A;2;7
58A;5;1
61A;9;1
64A;4;5
65A;7;4
70A;5;7
75A;5;8
101A;5;6
102A;2;9
104A;1;7
106A;6;2
107A;1;8
108A;2;7
111A;5;1
113D;9;1
114A;4;5
119A;7;4
120A;5;7
121A;5;8
122A;5;6
123A;2;9
125D;1;7
126D;6;2
127D;1;8
128D;2;7
133A;5;1
134A;9;1
135A;4;5
136A;7;4
137A;5;7
139A;5;8
141A;5;6
142A;2;9
143A;1;7
144A;6;2
145A;1;8
146A;2;7
148A;5;1
149A;9;1
153A;4;5
154A;7;4
156A;5;7
159A;5;8
163A;5;6
166A;2;9
167A;1;7
168A;6;2
169A;1;8
170A;2;7
171A;5;1
172A;9;1
173A;4;5
174A;7;4
175A;5;7
176A;5;8
177A;5;6
178A;2;9
179A;1;7
180A;6;2
188A;1;8
190A;2;7
191A;5;1
192A;9;1
194A;4;5
195A;7;4
196A;5;7
197A;5;8
198A;5;6
199A;2;9
200A;1;7
201A;6;2
202A;1;8
203A;2;7
204A;5;1
205A;9;1
206A;4;5
207A;7;4
208A;5;7
209A;5;8
211A;5;6
212A;2;9
213A;1;7
214A;6;2
215D;1;8
218D;2;7
219D;5;1
221D;9;1
223D;4;5
224D;7;4
225A;5;7
226D;5;8
228A;5;6
230A;2;9
235A;1;7
239A;6;2
240A;1;8
241A;2;7
242A;5;1
267A;9;1
268A;4;5
269A;7;4
270A;5;7
271A;5;8
275A;5;6
276A;2;9
277A;1;7
279A;6;2
280A;1;8
281A;2;7
282A;5;1
283A;9;1
284A;4;5
289A;7;4
291A;5;7
292A;5;8
296A;5;6
297A;2;9
300A;1;7
303A;6;2
315D;1;8
316D;2;7
318D;5;1
319D;9;1
320D;4;5
326D;7;4
329D;5;7
331D;5;8
332D;5;6
333D;2;9
335D;1;7
337D;6;2
338D;1;8
339D;2;7
340D;5;1
341D;9;1
342D;4;5
343D;7;4
360A;5;7
366A;5;8
367A;5;6
369A;2;9
370A;1;7
371A;6;2
372A;1;8
373A;2;7
374A;5;1
375A;9;1
379A;4;5
387A;7;4
388A;5;7
389A;5;8
393A;5;6
396A;2;9
402A;1;7
403A;6;2
404A;1;8
405A;2;7
406A;5;1
407A;9;1
408A;4;5
413A;7;4
414A;5;7
415A;5;8
417A;5;6
422A;2;9
424A;1;7
426A;6;2
427A;1;8
428A;2;7
429A;5;1
437D;9;1
441D;4;5
445D;7;4
446D;5;7
447D;5;8
448D;5;6
449A;2;9
450A;1;7
452A;6;2
453A;1;8
454A;2;7
455A;5;1
456A;9;1
457A;4;5
458A;7;4
459A;5;7
460A;5;8
461A;5;6
462A;2;9
463A;1;7
464A;6;2
6C;1;8
14C;2;7
48C;5;1
55C;9;1
57C;4;5
58C;7;4
64C;5;7
65C;5;8
101C;5;6
103C;2;9
105C;1;7
108C;6;2
111C;1;8
114C;2;7
119C;5;1
132C;9;1
133C;4;5
134C;7;4
139C;5;7
147C;5;8
148C;5;6
149C;2;9
151C;1;7
160C;6;2
161C;1;8
165C;2;7
166C;5;1
178C;9;1
179C;4;5
180C;7;4
181C;5;7
182C;5;8
183C;5;6
184C;2;9
185C;1;7
186C;6;2
187C;1;8
188C;2;7
189C;5;1
190C;9;1
192C;4;5
194C;7;4
195C;5;7
196C;5;8
197C;5;6
198C;2;9
199C;1;7
200C;6;2
213C;1;8
225C;2;7
227C;5;1
228C;9;1
229C;4;5
231C;7;4
232C;5;7
233C;5;8
234C;5;6
235C;2;9
237C;1;7
238C;6;2
239C;1;8
240C;2;7
244C;5;1
245C;9;1
246C;4;5
248C;7;4
249C;5;7
250C;5;8
251C;5;6
252C;2;9
253C;1;7
254C;6;2
255C;1;8
256C;2;7
257C;5;1
258C;9;1
259C;4;5
260C;7;4
262C;5;7
263C;5;8
264C;5;6
265C;2;9
267C;1;7
268C;6;2
269C;1;8
270C;2;7
271C;5;1
272C;9;1
273C;4;5
275C;7;4
276C;5;7
277C;5;8
280C;5;6
281C;2;9
294C;1;7
297C;6;2
299C;1;8
367C;2;7
369C;5;1
371C;9;1
372C;4;5
373C;7;4
374C;5;7
377C;5;8
389C;5;6
396C;2;9
415C;1;7
416C;6;2
429C;1;8
449C;2;7
459C;5;1
462C;9;1
463C;4;5
464C;7;4